nombre,precio,descripcion,categoria,stock
Auriculares Bluetooth Pro,49.99,Auriculares inalámbricos con cancelación de ruido activa y 30h de batería,Elektrónica,150
Smartwatch Fitness X3,89.99,Reloj inteligente con GPS integrado y monitoreo de salud 24/7,Elektrónica,200
Mochila Urban Travel,34.99,Mochila resistente al agua con compartimento para laptop de 15 pulgadas,Accesorios,300
Cargador Portátil 20000mAh,25.99,Bank de batería con carga rápida USB-C y doble puerto,Accesorios,500
Teclado Mecánico RGB,65.99,Teclado gaming con switches mecánicos y retroiluminación RGB personalizable,Elektrónica,120
Mouse Ergonómico Wireless,29.99,Mouse inalámbrico ergonómico con sensor óptico de alta precisión,Elektrónica,250
Webcam Full HD 1080p,45.99,Cámara web con micrófono integrado y corrección automática de luz,Elektrónica,180
Tablet Drawing Pad 10,149.99,Tablet gráfica de 10 pulgadas con 2048 niveles de presión,Elektrónica,80
Lámpara LED Escritorio,19.99,Lámpara regulable con 5 niveles de brillo y carga USB integrada,Hogar,400
Organizador de Escritorio,15.99,Base de madera con compartimentos para celular y tarjetas y oficina,Accesorios,350
Audífono Gaming Surround,59.99,Audífonos con sonido envolvente 7.1 y micrófono retráctil,Elektrónica,170
Power Bank Solar 10000mAh,35.99,Cargador portátil con panel solar para uso al aire libre,Accesorios,90
Kit Limpieza Electrónica,12.99,Kit completo con spray antistático y paño microfibra y cepillos,Accesorios,600
Alfombrilla Mouse XL,14.99,Alfombrilla gaming de tamaño extra grande con bordes cosidos,Accesorios,450
Soporte Laptop Ajustable,22.99,Soporte de aluminio ajustable con ventilación pasiva para laptops,Accesorios,280
